t;ydata;fitted
439.0;3705942.0;4786166.462750821
440.0;3709129.0;4807438.216108982
441.0;3711569.0;4828804.510143727
442.0;3713480.0;4850265.765064846
443.0;3714969.0;4871822.402905547
444.0;3715518.0;4893474.847568575
445.0;3716170.0;4915223.524892664
446.0;3717625.0;4937068.862563748
447.0;3718955.0;4959011.28785933
448.0;3720031.0;4981051.238985038
449.0;3721139.0;5003189.143174413
450.0;3721981.0;5025425.437859414
451.0;3722327.0;5047760.562232681
452.0;3722782.0;5070194.954484282
453.0;3723798.0;5092729.052758883
454.0;3724806.0;5115363.302666384
455.0;3725580.0;5138098.151605577
456.0;3726172.0;5160934.04350453
457.0;3726710.0;5183871.424284747
458.0;3726929.0;5206910.751076771
459.0;3727333.0;5230052.476141437
460.0;3728141.0;5253297.050491927
461.0;3729033.0;5276644.932190671
462.0;3729682.0;5300096.584989145
463.0;3730353.0;5323652.46710809
464.0;3730912.0;5347313.037828915
465.0;3731124.0;5371078.767963357
466.0;3731564.0;5394950.125159029
467.0;3732549.0;5418927.574961793
468.0;3733519.0;5443011.588678945
469.0;3734468.0;5467202.64522387
470.0;3735420.0;5491501.217529961
471.0;3736165.0;5515907.779355146
472.0;3736489.0;5540422.816040855
473.0;3737135.0;5565046.81018584
474.0;3738683.0;5589780.242058322
475.0;3740325.0;5614623.601984221
476.0;3741781.0;5639577.371316869
477.0;3743389.0;5664642.049545763
478.0;3744681.0;5689818.1226975955
479.0;3745227.0;5715106.089224316
480.0;3746410.0;5740506.446975492
481.0;3748613.0;5766019.694136275
482.0;3750503.0;5791646.331746812
483.0;3752592.0;5817386.863702238
484.0;3754511.0;5843241.796752677
485.0;3755898.0;5869211.64048865
486.0;3756856.0;5895296.904239579
487.0;3758401.0;5921498.099443841
488.0;3761169.0;5947815.741888625
489.0;3764311.0;5974250.349946321
490.0;3766765.0;6000802.444574529
491.0;3769165.0;6027472.549316053
492.0;3771262.0;6054261.190298901
493.0;3772109.0;6081168.894385483
494.0;3773875.0;6108196.188131583
495.0;3777446.0;6135343.602957614
496.0;3780985.0;6162611.672664811
497.0;3784433.0;6190000.933361105
498.0;3787639.0;6217511.92346112
499.0;3790766.0;6245145.183686178
500.0;3791949.0;6272901.2572927475
501.0;3794429.0;6300780.690904368
502.0;3799425.0;6328784.032896077
503.0;3805063.0;6356911.83390997
504.0;3810641.0;6385164.646969271
