t;ydata;fitted
701.0;78938335.0;69423312.98444843
702.0;78956555.0;69646353.01302749
703.0;79055469.0;69870109.60945009
704.0;79102176.0;70094585.07374847
705.0;79155578.0;70319781.71299303
706.0;79204186.0;70545701.84129232
707.0;79255446.0;70772347.8205057
708.0;79270366.0;70999721.96913569
709.0;79282761.0;71227826.61513588
710.0;79346841.0;71456664.10435666
711.0;79376595.0;71686236.78990427
712.0;79414294.0;71916547.03214075
713.0;79460871.0;72147597.198684
714.0;79510580.0;72379389.66440776
715.0;79520798.0;72611926.81144159
716.0;79531848.0;72845211.04275359
717.0;79567232.0;73079244.79003257
718.0;79591607.0;73314030.43092324
719.0;79637736.0;73549570.38010648
720.0;79690908.0;73785867.05973941
721.0;79722268.0;74022922.89945553
722.0;79733147.0;74260740.33636455
723.0;79744598.0;74499321.81505254
724.0;79786872.0;74738669.7875818
725.0;79811434.0;74978786.71349098
726.0;79852447.0;75219675.10438415
727.0;79895441.0;75461337.42161062
728.0;79941876.0;75703776.14076026
729.0;79951310.0;75946993.75505462
730.0;79963100.0;76190992.7654203
731.0;80002070.0;76435775.68048885
732.0;80026251.0;76681345.0165969
733.0;80065433.0;76927703.29778606
734.0;80111066.0;77174853.05580294
735.0;80143284.0;77422796.8463472
736.0;80155090.0;77671537.25184722
737.0;80159845.0;77921076.79989843
738.0;80188749.0;78171418.05688146
739.0;80214352.0;78422563.5971199
740.0;80255299.0;78674516.00288025
741.0;80305934.0;78927277.86437193
742.0;80380956.0;79180851.77974732
743.0;80393668.0;79435240.35510169
744.0;80403199.0;79690446.20447324
745.0;80443540.0;79946471.99976611
746.0;80479277.0;80203320.3535437
747.0;80534663.0;80460993.89818504
748.0;80585321.0;80719495.28357013
749.0;80620763.0;80978827.16776787
750.0;80633098.0;81238992.2170361
751.0;80640602.0;81499993.10582156
752.0;80701989.0;81761832.51675995
753.0;80741248.0;82024513.14067587
754.0;80810185.0;82288037.69559567
755.0;80871880.0;82552408.92353432
756.0;80961932.0;82817629.51199593
757.0;80981661.0;83083702.18862939
758.0;80995149.0;83350629.68952587
759.0;81065351.0;83618414.75921886
760.0;81110700.0;83887060.15068404
761.0;81200714.0;84156568.62533945
762.0;81278067.0;84426942.95304534
763.0;81339256.0;84698185.91210428
764.0;81363235.0;84970300.34429532
765.0;81379937.0;85243289.02294287
766.0;81474641.0;85517154.7473283
767.0;81524230.0;85791900.33384588
768.0;81636254.0;86067528.60759304
769.0;81724803.0;86344042.40237027
770.0;81853564.0;86621444.56068116
771.0;81881384.0;86899737.93373242
772.0;81887147.0;87178925.38143384
773.0;82017157.0;87459009.79440115
774.0;82087401.0;87739994.08393203
775.0;82247584.0;88021881.10769512
