t;ydata;fitted
415.0;2381923.0;2224451.8127035485
416.0;2382745.0;2230716.062956427
417.0;2385512.0;2236997.953882439
418.0;2387512.0;2243297.535159439
419.0;2390140.0;2249614.856605155
420.0;2392744.0;2255949.9681775942
421.0;2395330.0;2262302.919975436
422.0;2396604.0;2268673.762238421
423.0;2397307.0;2275062.5453477674
424.0;2399790.0;2281469.319826555
425.0;2402722.0;2287894.1363401287
426.0;2405772.0;2294337.0456965114
427.0;2408778.0;2300798.098846789
428.0;2411503.0;2307277.346885528
429.0;2412810.0;2313774.841051176
430.0;2413742.0;2320290.6327264616
431.0;2420659.0;2326824.773438815
432.0;2423928.0;2333377.314860762
433.0;2426822.0;2339948.3088103323
434.0;2429631.0;2346537.8072514907
435.0;2431702.0;2353145.862294525
436.0;2433681.0;2359772.526196462
437.0;2434562.0;2366417.8513615006
438.0;2438011.0;2373081.8903414016
439.0;2441866.0;2379764.6958359107
440.0;2445538.0;2386466.3206931944
441.0;2448820.0;2393186.8179102275
442.0;2452469.0;2399926.2406332297
443.0;2454176.0;2406684.642158094
444.0;2455351.0;2413462.075930786
445.0;2459601.0;2420258.59554788
446.0;2463390.0;2427074.2547564995
447.0;2467643.0;2433909.1074556923
448.0;2471741.0;2440763.2076961114
449.0;2471741.0;2447636.609680758
450.0;2477283.0;2454529.367764773
451.0;2478551.0;2461441.5364559996
452.0;2482784.0;2468373.170418029
453.0;2487747.0;2475324.324466605
454.0;2493087.0;2482295.053570131
455.0;2498357.0;2489285.4128535534
456.0;2503408.0;2496295.4575996865
457.0;2505792.0;2503325.243243355
458.0;2507453.0;2510374.825374405
459.0;2513164.0;2517444.259743979
460.0;2519269.0;2524533.6022582827
461.0;2525350.0;2531642.908978536
462.0;2531192.0;2538772.23576368
463.0;2537457.0;2545921.6400215956
464.0;2540068.0;2553091.1773778
465.0;2541873.0;2560280.9047291735
466.0;2549862.0;2567490.8791673547
467.0;2558369.0;2574721.157748962
468.0;2567821.0;2581971.7974759336
469.0;2577140.0;2589242.855362354
470.0;2586721.0;2596534.38926457
471.0;2590500.0;2603846.4571044184
472.0;2593574.0;2611179.116440325
473.0;2604711.0;2618532.4248307957
474.0;2616827.0;2625906.4406597307
475.0;2629648.0;2633301.222730303
476.0;2642068.0;2640716.8292737426
477.0;2654699.0;2648153.318521278
478.0;2659137.0;2655610.7493224065
479.0;2664444.0;2663089.181283899
480.0;2678297.0;2670588.673328088
481.0;2693495.0;2678109.2843669546
482.0;2709739.0;2685651.07375044
483.0;2709739.0;2693214.101831615
484.0;2741983.0;2700798.428256621
485.0;2748518.0;2708404.112627476
486.0;2754438.0;2716031.2148839114
487.0;2771846.0;2723679.796070158
488.0;2790874.0;2731349.916552627
489.0;2810097.0;2739041.636620669
490.0;2829443.0;2746755.0168197574
491.0;2848252.0;2754490.1188854794
492.0;2854992.0;2762247.003924102
493.0;2861498.0;2770025.7329216027
494.0;2880409.0;2777826.368252362
495.0;2901094.0;2785648.9690456716
496.0;2922663.0;2793493.5998400645
497.0;2944226.0;2801360.3219644944
498.0;2964244.0;2809249.1970518264
499.0;2971817.0;2817160.2881312273
500.0;2978330.0;2825093.657809182
501.0;2997885.0;2833049.3686484867
502.0;3020596.0;2841027.483429424
503.0;3045571.0;2849028.0651497594
504.0;3068329.0;2857051.177024745
505.0;3091971.0;2865096.882487115
506.0;3091971.0;2873165.245187091
507.0;3108438.0;2881256.328992377
508.0;3123252.0;2889370.19797625
509.0;3152205.0;2897506.91606973
510.0;3175374.0;2905666.547500927
511.0;3197108.0;2913849.1568392813
512.0;3217415.0;2922054.808857587
513.0;3225073.0;2930283.5685319914
514.0;3231616.0;2938535.5010419954
515.0;3249878.0;2946810.671770454
516.0;3271128.0;2955109.146303574
517.0;3291761.0;2963430.9904309185
518.0;3311317.0;2971776.270145001
519.0;3328863.0;2980145.051233246
520.0;3335700.0;2988537.399585628
521.0;3341264.0;2996953.381569616
522.0;3352410.0;3005393.0637359363
523.0;3369747.0;3013856.512818572
524.0;3387885.0;3022343.795734762
525.0;3405294.0;3030854.979585002
526.0;3420880.0;3039390.131653044
527.0;3428384.0;3047949.319405897
528.0;3433511.0;3056532.6104938267
529.0;3449295.0;3065140.0728213442
530.0;3465171.0;3073771.7745612995
531.0;3479999.0;3082427.7839762624
532.0;3479999.0;3091108.1695152773
533.0;3506743.0;3099812.999815891
534.0;3511882.0;3108542.343704154
535.0;3516043.0;3117296.270194617
536.0;3528972.0;3126074.8484903355
537.0;3542189.0;3134878.147982867
538.0;3549229.0;3143706.2382522705
539.0;3552983.0;3152559.1227165465
540.0;3552983.0;3161437.0280997455
541.0;3569677.0;3170339.927365455
542.0;3573044.0;3179267.8924717684
543.0;3585565.0;3188220.9953767797
544.0;3597168.0;3197199.3080385816
545.0;3608976.0;3206202.902415269
546.0;3619115.0;3215231.8504649345
547.0;3619115.0;3224286.224145672
548.0;3632800.0;3233366.095415575
549.0;3635807.0;3242471.536270152
550.0;3645599.0;3251602.6189768794
551.0;3655395.0;3260759.4157105787
552.0;3664223.0;3269941.9986314545
553.0;3671611.0;3279150.440621623
554.0;3678980.0;3288384.8145831055
555.0;3678980.0;3297645.19319128
556.0;3684242.0;3306931.649710373
557.0;3684242.0;3316244.2579563973
558.0;3691924.0;3325583.091276456
559.0;3707234.0;3334948.2233107765
560.0;3714392.0;3344339.728626472
561.0;3714392.0;3353757.681297468
562.0;3723235.0;3363202.155450668
563.0;3725242.0;3372673.226225402
564.0;3732429.0;3382170.9684920837
565.0;3738749.0;3391695.4569835216
566.0;3744574.0;3401246.7673257627
567.0;3749860.0;3410824.975180764
568.0;3755063.0;3420430.1559302714
569.0;3757056.0;3430062.3856265033
570.0;3758469.0;3439721.740762226
571.0;3762689.0;3449408.2974018413
572.0;3767758.0;3459122.132322326
573.0;3772556.0;3468863.321945933
574.0;3777209.0;3478631.943841395
575.0;3781661.0;3488428.0747941458
576.0;3781661.0;3498251.792729065
577.0;3784448.0;3508103.175233355
578.0;3784448.0;3517982.300071498
579.0;3788986.0;3527889.245278247
580.0;3798286.0;3537824.089158628
581.0;3802287.0;3547786.9102879353
582.0;3805765.0;3557777.787511736
583.0;3807211.0;3567796.7998785554
584.0;3807211.0;3577844.026391022
585.0;3808205.0;3587919.546500479
586.0;3811793.0;3598023.43994633
587.0;3814453.0;3608155.786719702
588.0;3818216.0;3618316.667063444
589.0;3825404.0;3628506.1614721264
590.0;3826786.0;3638724.3506920417
591.0;3826786.0;3648971.315636984
592.0;3831259.0;3659247.1370159183
593.0;3831259.0;3669551.896031935
594.0;3838308.0;3679885.6741730524
595.0;3838308.0;3690248.5531526576
596.0;3841661.0;3700640.614909504
597.0;3844791.0;3711061.9416077137
598.0;3845733.0;3721512.615636774
599.0;3846508.0;3731992.7196256896
600.0;3851079.0;3742502.3365176464
601.0;3854994.0;3753041.54943707
602.0;3854994.0;3763610.441725739
603.0;3858831.0;3774209.0969558693
604.0;3862137.0;3784837.598930111
605.0;3864278.0;3795496.0316815516
606.0;3864278.0;3806184.4794737115
607.0;3867976.0;3816902.9945113747
608.0;3876391.0;3827651.7401994085
609.0;3879836.0;3838430.750171928
610.0;3879836.0;3849240.1110986974
611.0;3882792.0;3860079.9096494797
612.0;3884566.0;3870950.232494039
613.0;3884566.0;3881851.1663021385
614.0;3891218.0;3892782.797743542
615.0;3891218.0;3903745.213510891
616.0;3897452.0;3914738.5005162884
617.0;3897452.0;3925762.7456255774
618.0;3901263.0;3936818.0358626056
619.0;3902015.0;3947904.458961102
620.0;3902015.0;3959022.1023522434
621.0;3905319.0;3970171.0538695725
622.0;3911714.0;3981351.4020013674
623.0;3911714.0;3992563.2348328596
624.0;3914706.0;4003806.6411608937
625.0;3917361.0;4015081.71004844
626.0;3918216.0;4026388.530314312
627.0;3918987.0;4037727.1916621593
628.0;3924638.0;4049097.783728451
629.0;3927265.0;4060500.396191259
630.0;3927265.0;4071935.119584705
631.0;3930015.0;4083402.044099389
632.0;3932545.0;4094901.2603865988
633.0;3934102.0;4106432.8596403035
634.0;3934102.0;4117996.9330899827
635.0;3937082.0;4129593.5713491766
636.0;3940401.0;4141222.867122703
637.0;3947284.0;4152884.911951646
638.0;3950200.0;4164579.798776379
639.0;3950200.0;4176307.619973272
640.0;3951003.0;4188068.4680696637
641.0;3951946.0;4199862.435884999
642.0;3956372.0;4211689.616530832
643.0;3961662.0;4223550.103410826
644.0;3979723.0;4235443.990220753
645.0;3988916.0;4247371.3709484935
646.0;3990587.0;4259332.339874037
647.0;3993464.0;4271326.991569482
648.0;4008648.0;4283355.42089918
649.0;4029274.0;4295417.723078045
650.0;4055095.0;4307513.993670608
651.0;4083118.0;4319644.3285328755
652.0;4113789.0;4331808.82359634
653.0;4125388.0;4344007.574965148
654.0;4125388.0;4356240.679038963
655.0;4170066.0;4368508.2325783335
656.0;4214253.0;4380810.332618672
657.0;4257776.0;4393147.076444122
658.0;4257776.0;4405518.561616514
659.0;4349182.0;4417924.885970315
660.0;4368314.0;4430366.147279605
661.0;4385415.0;4442842.444900432
662.0;4385415.0;4455353.876598607
663.0;4495310.0;4467900.541576023
664.0;4495310.0;4480482.539168376
665.0;4595589.0;4493099.96869556
666.0;4595589.0;4505752.93010374
667.0;4667829.0;4518441.523354555
668.0;4685767.0;4531165.848719543
669.0;4730669.0;4543926.0070104655
670.0;4730669.0;4556722.098878037
671.0;4779296.0;4569554.225787421
672.0;4873561.0;4582422.4889976755
673.0;4916143.0;4595326.99047669
674.0;4930069.0;4608267.832306007
675.0;4942590.0;4621245.116421286
676.0;4985689.0;4634258.945851483
677.0;4985689.0;4647309.423431362
678.0;5027870.0;4660396.652048817
679.0;5106048.0;4673520.735664117
680.0;5141291.0;4686681.777826534
681.0;5151525.0;4699879.882632708
682.0;5160767.0;4713115.154320724
683.0;5167110.0;4726387.697739502
684.0;5192008.0;4739697.61811486
685.0;5192008.0;4753045.021293353
686.0;5226269.0;4766430.012544124
687.0;5283852.0;4779852.6974680545
688.0;5283852.0;4793313.181997763
689.0;5292706.0;4806811.572397608
690.0;5300537.0;4820347.975263686
691.0;5344840.0;4833922.49752383
692.0;5366405.0;4847535.246437615
693.0;5366405.0;4861186.329596352
694.0;5407711.0;4874875.854923089
695.0;5413425.0;4888603.930672616
696.0;5413425.0;4902370.665468427
697.0;5418257.0;4916176.168391568
698.0;5455237.0;4930020.548848722
699.0;5473489.0;4943903.916518299
700.0;5489127.0;4957826.381046408
701.0;5502586.0;4971788.052454363
702.0;5506105.0;4985789.041073404
703.0;5508629.0;4999829.457686468
704.0;5521744.0;5013909.413337387
705.0;5521744.0;5028029.019369199
706.0;5534086.0;5042188.387443933
707.0;5544644.0;5056387.629534478
708.0;5554392.0;5070626.857308927
709.0;5564985.0;5084906.185138291
710.0;5566669.0;5099225.724359982
711.0;5575608.0;5113585.588572888
712.0;5583993.0;5127985.891503758
713.0;5591871.0;5142426.746908199
714.0;5591871.0;5156908.269101991
715.0;5605636.0;5171430.572472772
716.0;5606827.0;5185993.771960435
717.0;5607845.0;5200597.982653034
718.0;5607845.0;5215243.320101814
719.0;5613870.0;5229929.900083332
720.0;5624954.0;5244657.838755043
721.0;5624954.0;5259427.252589798
722.0;5629814.0;5274238.2583715925
723.0;5633928.0;5289090.973255877
724.0;5634829.0;5303985.514654006
725.0;5636054.0;5318922.000414031
726.0;5636054.0;5333900.548597148
727.0;5640305.0;5348921.277689463
728.0;5647041.0;5363984.306624566
729.0;5647041.0;5379089.75488022
730.0;5650896.0;5394237.741689213
731.0;5651553.0;5409428.386655295
732.0;5654311.0;5424661.809757311
733.0;5654311.0;5439938.131349199
